0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 
0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 33, 743, 29, 0, 0, 0, 0, 0, 2, 734, 28978, 173, 0, 0, 0, 0, 2, 626, 11989, 50109, 38, 0, 0, 0, 0, 33, 247, 7975, 14830, 8, 0, 0, 0, 2, 47, 99, 2161, 3547, 1, 0, 0, 0, 0, 36, 0, 344, 394, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 6160, 29, 0, 0, 0, 0, 0, 15, 2607, 79322, 46, 0, 0, 0, 0, 1, 558, 9342, 22966, 0, 0, 0, 0, 0, 11, 90, 603, 1778, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 14, 0, 0, 0, 0, 0, 0, 104, 4198, 53, 0, 0, 0, 0, 1, 123, 2054, 9031, 61, 0, 0, 0, 0, 14, 248, 5119, 18515, 83, 0, 0, 0, 2, 74, 902, 10480, 74608, 1, 0, 0, 0, 0, 41, 0, 2616, 1873, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 562, 8, 0, 0, 0, 0, 0, 0, 247, 6660, 241, 0, 0, 0, 0, 0, 19, 4917, 142237, 611, 0, 0, 0, 0, 3, 1550, 52958, 211853, 229, 0, 0, 0, 0, 36, 340, 32302, 85193, 7, 0, 0, 0, 0, 4, 0, 3363, 3554, 0, 0, 0, 0, 0, 0, 0, 555, 2373, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 0, 0, 0, 1, 11, 385, 3, 0, 0, 0, 0, 0, 1, 171, 1351, 19, 0, 0, 0, 0, 0, 25, 514, 3194, 3, 0, 0, 0, 0, 0, 42, 1399, 4006, 28, 0, 0, 0, 4, 12, 544, 2578, 58612, 406, 0, 0, 0, 0, 1314, 1, 21777, 146641, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 273, 9, 0, 0, 0, 0, 0, 0, 324, 25422, 415, 0, 0, 0, 0, 1, 823, 14114, 237314, 398, 0, 0, 0, 0, 32, 1174, 44120, 225045, 181, 0, 0, 0, 1, 105, 715, 31672, 120674, 15, 0, 0, 0, 1, 383, 0, 8233, 28156, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 40, 1423, 41, 0, 0, 0, 0, 0, 133, 881, 10196, 12, 0, 0, 0, 0, 7, 268, 2854, 9089, 17, 0, 0, 0, 1, 48, 153, 1679, 8024, 0, 0, 0, 0, 2, 126, 0, 804, 1828, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 889, 55, 0, 0, 0, 0, 0, 14, 1124, 25520, 138, 0, 0, 0, 0, 0, 628, 9791, 50802, 157, 0, 0, 0, 0, 40, 441, 13863, 54503, 2, 0, 0, 0, 0, 16, 23, 3738, 3358, 0, 0, 0, 0, 1, 87, 0, 210, 1458, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 117, 6864, 61, 0, 0, 0, 0, 0, 24, 3307, 45876, 85, 0, 0, 0, 0, 1, 662, 11173, 50478, 21, 0, 0, 0, 0, 13, 280, 6558, 18128, 5, 0, 0, 0, 0, 39, 92, 3223, 11885, 18, 0, 0, 0, 0, 3, 0, 2234, 5243, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 632, 33, 0, 0, 0, 0, 0, 8, 650, 33139, 387, 0, 0, 0, 0, 3, 788, 15656, 108662, 116, 0, 0, 0, 0, 29, 612, 21544, 41107, 30, 0, 0, 0, 1, 42, 183, 4011, 7356, 0, 0, 0, 0, 0, 2, 0, 150, 68, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 1, 0, 0, 0, 0, 0, 0, 88, 3026, 5, 0, 0, 0, 0, 0, 92, 1394, 6680, 6, 0, 0, 0, 0, 7, 415, 2794, 20376, 32, 0, 0, 0, 1, 56, 268, 4803, 10862, 0, 0, 0, 0, 0, 8, 0, 17, 4, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 1, 0, 0, 0, 0, 0, 0, 37, 3915, 62, 0, 0, 0, 0, 0, 8, 1761, 12069, 79, 0, 0, 0, 0, 0, 99, 5067, 20688, 100, 0, 0, 0, 0, 19, 501, 12142, 70326, 559, 0, 0, 0, 1, 198, 1532, 39188, 306586, 95, 0, 0, 0, 2, 617, 13, 46686, 79010, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 54, 1797, 8, 0, 0, 0, 0, 0, 8, 1126, 12431, 12, 0, 0, 0, 0, 1, 271, 3979, 15577, 1, 0, 0, 0, 0, 12, 452, 4125, 13161, 11, 0, 0, 0, 0, 19, 5, 1403, 1949, 0, 0, 0, 0, 0, 0, 0, 0, 0, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 629, 8, 0, 0, 0, 0, 0, 2, 457, 3973, 37, 0, 0, 0, 0, 1, 212, 1829, 12084, 40, 0, 0, 0, 1, 18, 393, 4738, 26396, 62, 0, 0, 0, 1, 83, 209, 6021, 12421, 0, 0, 0, 0, 0, 0, 0, 75, 0, stroma
0, 0, 0, 0, 0, 0, 0, 0, 126, 14483, 236, 0, 0, 0, 0, 0, 8, 8588, 127684, 60, 0, 0, 0, 0, 0, 68, 15683, 34720, 12, 0, 0, 0, 0, 0, 59, 3316, 5208, 0, 0, 0, 0, 0, 1, 8, 253, 145, 0, 0, 0, 0, 0, 0, 0, 22, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 3, 3954, 58, 0, 0, 0, 0, 0, 2, 2768, 103136, 123, 0, 0, 0, 0, 0, 86, 18237, 63989, 7, 0, 0, 0, 0, 1, 218, 4846, 10667, 4, 0, 0, 0, 0, 3, 83, 1753, 3313, 3, 0, 0, 0, 0, 5, 30, 819, 2448, 0, 0, 0, 0, 0, 24, 0, 414, 1562, epithelium
